"2017-08-04 21:00","2017","08","04","21:00","3,2","","2,8","","97","","3","","20","","","","98,05","","","","","","ND"
"2017-08-04 22:00","2017","08","04","22:00"
"2017-08-04 23:00","2017","08","04","23:00","2,9","","2,6","","97","","4","","17","","","","98,03","","","","","","ND"
"2017-08-05 00:00","2017","08","05","00:00"
"2017-08-05 01:00","2017","08","05","01:00","3,2","","2,8","","98","","3","","19","","","","98,01","","","","","","ND"
"2017-08-05 02:00","2017","08","05","02:00","2,9","","2,6","","98","","4","","18","","","","98,01","","","","","","ND"
"2017-08-05 03:00","2017","08","05","03:00","2,9","","2,6","","98","","3","","22","","","","98,02","","","","","","ND"
"2017-08-05 04:00","2017","08","05","04:00"
"2017-08-05 05:00","2017","08","05","05:00"
"2017-08-05 06:00","2017","08","05","06:00"
"2017-08-05 07:00","2017","08","05","07:00"
"2017-08-05 08:00","2017","08","05","08:00"
"2017-08-05 09:00","2017","08","05","09:00"
"2017-08-05 10:00","2017","08","05","10:00"
"2017-08-05 11:00","2017","08","05","11:00"
"2017-08-05 12:00","2017","08","05","12:00"
"2017-08-05 13:00","2017","08","05","13:00","5,4","","5,0","","98","","4","","19","","","","98,17","","","","","","ND"
"2017-08-05 14:00","2017","08","05","14:00"
"2017-08-05 15:00","2017","08","05","15:00","5,3","","4,9","","98","","4","","20","","","","98,23","","","","","","ND"
"2017-08-05 16:00","2017","08","05","16:00"
"2017-08-05 17:00","2017","08","05","17:00","4,9","","4,5","","98","","5","","18","","","","98,28","","","","","","ND"
"2017-08-05 18:00","2017","08","05","18:00"
"2017-08-05 19:00","2017","08","05","19:00"
"2017-08-05 20:00","2017","08","05","20:00"
"2017-08-05 21:00","2017","08","05","21:00"
"2017-08-05 22:00","2017","08","05","22:00"
"2017-08-05 23:00","2017","08","05","23:00"
"2017-08-06 00:00","2017","08","06","00:00"
"2017-08-06 01:00","2017","08","06","01:00"
"2017-08-06 02:00","2017","08","06","02:00"
"2017-08-06 03:00","2017","08","06","03:00"
"2017-08-06 04:00","2017","08","06","04:00"
"2017-08-06 05:00","2017","08","06","05:00"
"2017-08-06 06:00","2017","08","06","06:00"
"2017-08-06 07:00","2017","08","06","07:00"
"2017-08-06 08:00","2017","08","06","08:00"
"2017-08-06 09:00","2017","08","06","09:00"
"2017-08-06 10:00","2017","08","06","10:00"
"2017-08-06 11:00","2017","08","06","11:00"
"2017-08-06 12:00","2017","08","06","12:00"
"2017-08-06 13:00","2017","08","06","13:00"
"2017-08-06 14:00","2017","08","06","14:00","11,4","","6,2","","70","","4","","10","","","","98,57","","","","","","ND"
"2017-08-06 15:00","2017","08","06","15:00"
"2017-08-06 16:00","2017","08","06","16:00","12,0","","5,6","","65","","1","","15","","","","98,57","","","","","","ND"
"2017-08-06 17:00","2017","08","06","17:00"
"2017-08-06 18:00","2017","08","06","18:00"
"2017-08-06 19:00","2017","08","06","19:00"
"2017-08-06 20:00","2017","08","06","20:00"
"2017-08-06 21:00","2017","08","06","21:00","8,9","","3,9","","71","","6","","6","","","","98,62","","","","","","ND"
"2017-08-06 22:00","2017","08","06","22:00"
"2017-08-06 23:00","2017","08","06","23:00","8,7","","3,6","","70","","","","0","","","","98,56","","","","","","ND"
"2017-08-07 00:00","2017","08","07","00:00"
"2017-08-07 01:00","2017","08","07","01:00","9,6","","4,7","","72","","21","","4","","","","98,52","","","","","","ND"
"2017-08-07 02:00","2017","08","07","02:00"
"2017-08-07 03:00","2017","08","07","03:00"
"2017-08-07 04:00","2017","08","07","04:00"
"2017-08-07 05:00","2017","08","07","05:00"
"2017-08-07 06:00","2017","08","07","06:00"
"2017-08-07 07:00","2017","08","07","07:00"
"2017-08-07 08:00","2017","08","07","08:00"
"2017-08-07 09:00","2017","08","07","09:00"
"2017-08-07 10:00","2017","08","07","10:00"
"2017-08-07 11:00","2017","08","07","11:00"
"2017-08-07 12:00","2017","08","07","12:00","16,8","","6,3","","50","","20","","25","","","","98,32","","","","","","ND"
"2017-08-07 13:00","2017","08","07","13:00","16,5","","6,4","","51","","21","","24","","","","98,32","","","","","","ND"
"2017-08-07 14:00","2017","08","07","14:00"
"2017-08-07 15:00","2017","08","07","15:00"
"2017-08-07 16:00","2017","08","07","16:00","18,0","","6,0","","45","","21","","26","","","","98,28","","","","","","ND"
"2017-08-07 17:00","2017","08","07","17:00"
"2017-08-07 18:00","2017","08","07","18:00"
"2017-08-07 19:00","2017","08","07","19:00"
"2017-08-07 20:00","2017","08","07","20:00","14,7","","6,7","","59","","18","","22","","","","98,26","","","","","","ND"
"2017-08-07 21:00","2017","08","07","21:00","13,9","","6,5","","61","","17","","24","","","","98,27","","","","","","ND"
"2017-08-07 22:00","2017","08","07","22:00"
"2017-08-07 23:00","2017","08","07","23:00"
"2017-08-08 00:00","2017","08","08","00:00"
"2017-08-08 01:00","2017","08","08","01:00"
"2017-08-08 02:00","2017","08","08","02:00","10,9","","6,8","","76","","17","","37","","","","98,15","","","","","","ND"
"2017-08-08 03:00","2017","08","08","03:00"
"2017-08-08 04:00","2017","08","08","04:00"
"2017-08-08 05:00","2017","08","08","05:00"
"2017-08-08 06:00","2017","08","08","06:00"
"2017-08-08 07:00","2017","08","08","07:00"
"2017-08-08 08:00","2017","08","08","08:00"
"2017-08-08 09:00","2017","08","08","09:00"
"2017-08-08 10:00","2017","08","08","10:00"
"2017-08-08 11:00","2017","08","08","11:00"
"2017-08-08 12:00","2017","08","08","12:00"
"2017-08-08 13:00","2017","08","08","13:00"
"2017-08-08 14:00","2017","08","08","14:00"
"2017-08-08 15:00","2017","08","08","15:00"
"2017-08-08 16:00","2017","08","08","16:00"
"2017-08-08 17:00","2017","08","08","17:00"
"2017-08-08 18:00","2017","08","08","18:00"
"2017-08-08 19:00","2017","08","08","19:00"
"2017-08-08 20:00","2017","08","08","20:00","12,8","","6,0","","63","","5","","10","","","","98,06","","","","","","ND"
"2017-08-08 21:00","2017","08","08","21:00","11,3","","5,8","","69","","3","","9","","","","98,05","","","","","","ND"
"2017-08-08 22:00","2017","08","08","22:00","10,2","","5,5","","72","","3","","16","","","","98,04","","","","","","ND"
"2017-08-08 23:00","2017","08","08","23:00"
"2017-08-09 00:00","2017","08","09","00:00"
"2017-08-09 01:00","2017","08","09","01:00","7,6","","4,4","","80","","6","","10","","","","98,05","","","","","","ND"
"2017-08-09 02:00","2017","08","09","02:00"
"2017-08-09 03:00","2017","08","09","03:00"
"2017-08-09 04:00","2017","08","09","04:00"
"2017-08-09 05:00","2017","08","09","05:00"
"2017-08-09 06:00","2017","08","09","06:00"
"2017-08-09 07:00","2017","08","09","07:00"
"2017-08-09 08:00","2017","08","09","08:00"
"2017-08-09 09:00","2017","08","09","09:00"
"2017-08-09 10:00","2017","08","09","10:00","10,4","","3,7","","63","","3","","13","","","","98,08","","","","","","ND"
"2017-08-09 11:00","2017","08","09","11:00"
"2017-08-09 12:00","2017","08","09","12:00"
"2017-08-09 13:00","2017","08","09","13:00"
"2017-08-09 14:00","2017","08","09","14:00","8,7","","6,4","","86","","6","","25","","","","98,05","","","","","","ND"
"2017-08-09 15:00","2017","08","09","15:00"
"2017-08-09 16:00","2017","08","09","16:00"
"2017-08-09 17:00","2017","08","09","17:00"
"2017-08-09 18:00","2017","08","09","18:00"
