"2016-08-01 17:00","2016","08","01","17:00","20,0","","5,8","","39","","8","","20","","","","99,21","","","","","","ND"
"2016-08-01 18:00","2016","08","01","18:00","19,3","","5,0","","39","","10","","24","","","","99,20","","","","","","ND"
"2016-08-01 19:00","2016","08","01","19:00","18,6","","5,1","","41","","11","","23","","","","99,23","","","","","","ND"
"2016-08-01 20:00","2016","08","01","20:00","18,0","","5,4","","44","","12","","19","","","","99,24","","","","","","ND"
"2016-08-01 21:00","2016","08","01","21:00","17,0","","5,8","","47","","13","","17","","","","99,25","","","","","","ND"
"2016-08-01 22:00","2016","08","01","22:00","16,3","","5,9","","50","","12","","16","","","","99,22","","","","","","ND"
"2016-08-01 23:00","2016","08","01","23:00","16,1","","6,3","","52","","13","","8","","","","99,19","","","","","","ND"
"2016-08-02 00:00","2016","08","02","00:00","15,9","","6,0","","52","","24","","4","","","","99,17","","","","","","ND"
"2016-08-02 01:00","2016","08","02","01:00","15,6","","6,6","","55","","16","","32","","","","99,15","","","","","","ND"
"2016-08-02 02:00","2016","08","02","02:00","16,0","","6,8","","54","","16","","31","","","","99,15","","","","","","ND"
"2016-08-02 03:00","2016","08","02","03:00","14,7","","7,0","","60","","17","","35","","","","99,15","","","","","","ND"
"2016-08-02 04:00","2016","08","02","04:00","14,8","","6,8","","58","","16","","32","","","","99,11","","","","","","ND"
"2016-08-02 05:00","2016","08","02","05:00","15,4","","6,4","","55","","16","","31","","","","99,05","","","","","","ND"
"2016-08-02 06:00","2016","08","02","06:00","16,0","","6,2","","52","","16","","33","","","","99,03","","","","","","ND"
"2016-08-02 07:00","2016","08","02","07:00","16,8","","6,6","","51","","16","","31","","","","99,05","","","","","","ND"
"2016-08-02 08:00","2016","08","02","08:00","18,0","","6,3","","46","","16","","28","","","","99,03","","","","","","ND"
"2016-08-02 09:00","2016","08","02","09:00","19,7","","6,3","","42","","17","","27","","","","99,02","","","","","","ND"
"2016-08-02 10:00","2016","08","02","10:00","21,3","","4,5","","33","","19","","36","","","","98,98","","","","","","ND"
"2016-08-02 11:00","2016","08","02","11:00","22,1","","5,5","","34","","18","","36","","","","98,93","","","","","","ND"
"2016-08-02 12:00","2016","08","02","12:00","22,0","","4,8","","33","","18","","34","","","","98,88","","","","","","ND"
