"2016-06-01 17:00","2016","06","01","17:00","-2,6","","-6,1","","77","","","M","14","","","","100,14","","","","-7","","ND"
"2016-06-01 18:00","2016","06","01","18:00","-3,0","","-6,1","","79","","","M","13","","","","100,14","","","","-8","","ND"
"2016-06-01 19:00","2016","06","01","19:00","-3,1","","-5,7","","82","","","M","13","","","","100,16","","","","-8","","ND"
"2016-06-01 20:00","2016","06","01","20:00","-3,3","","-5,7","","84","","","M","13","","","","100,15","","","","-8","","ND"
"2016-06-01 21:00","2016","06","01","21:00","-3,3","","-5,5","","85","","","M","9","","","","100,15","","","","-7","","ND"
"2016-06-01 22:00","2016","06","01","22:00","-3,4","","-5,7","","85","","","M","3","","","","100,14","","","","-5","","ND"
"2016-06-01 23:00","2016","06","01","23:00","-3,3","","-6,1","","81","","","M","3","","","","100,13","","","","-5","","ND"
"2016-06-02 00:00","2016","06","02","00:00","-3,0","","-9,5","","61","","","M","10","","","","100,09","","","","-7","","ND"
"2016-06-02 01:00","2016","06","02","01:00","-4,2","","-9,8","","65","","","M","10","","","","100,09","","","","-8","","ND"
"2016-06-02 02:00","2016","06","02","02:00","-4,1","","-9,7","","65","","","M","12","","","","100,09","","","","-9","","ND"
"2016-06-02 03:00","2016","06","02","03:00","-3,8","","-9,5","","65","","","M","9","","","","100,08","","","","-8","","ND"
"2016-06-02 04:00","2016","06","02","04:00","-3,4","","-8,4","","68","","","M","12","","","","100,05","","","","-8","","ND"
"2016-06-02 05:00","2016","06","02","05:00","-3,1","","-7,6","","71","","","M","14","","","","100,05","","","","-8","","ND"
"2016-06-02 06:00","2016","06","02","06:00","-2,9","","-8,3","","66","","","M","11","","","","100,06","","","","-7","","ND"
"2016-06-02 07:00","2016","06","02","07:00","-2,6","","-8,7","","63","","","M","12","","","","100,06","","","","-7","","ND"
"2016-06-02 08:00","2016","06","02","08:00","-2,3","","-9,4","","58","","","M","9","","","","100,05","","","","-6","","ND"
"2016-06-02 09:00","2016","06","02","09:00","-2,2","","-9,1","","59","","","M","9","","","","100,03","","","","-6","","ND"
"2016-06-02 10:00","2016","06","02","10:00","-1,6","","-7,9","","62","","","M","13","","","","100,00","","","","-6","","ND"
"2016-06-02 11:00","2016","06","02","11:00","-2,2","","-9,0","","60","","","M","19","","","","99,98","","","","-8","","ND"
"2016-06-02 12:00","2016","06","02","12:00","-1,4","","-8,1","","61","","","M","18","","","","99,94","","","","-7","","ND"
"2016-06-02 13:00","2016","06","02","13:00","-1,1","","-7,5","","62","","","M","14","","","","99,92","","","","-6","","ND"
"2016-06-02 14:00","2016","06","02","14:00","-0,9","","-7,3","","62","","","M","19","","","","99,91","","","","-6","","ND"
"2016-06-02 15:00","2016","06","02","15:00","-0,7","","-6,7","","64","","","M","18","","","","99,89","","","","-6","","ND"
"2016-06-02 16:00","2016","06","02","16:00","-1,0","","-6,6","","66","","","M","19","","","","99,88","","","","-6","","ND"
"2016-06-02 17:00","2016","06","02","17:00","-0,8","","-6,0","","68","","","M","18","","","","99,85","","","","-6","","ND"
"2016-06-02 18:00","2016","06","02","18:00","-1,1","","-6,5","","67","","","M","19","","","","99,86","","","","-6","","ND"
"2016-06-02 19:00","2016","06","02","19:00","-1,2","","-6,2","","69","","","M","18","","","","99,87","","","","-6","","ND"
"2016-06-02 20:00","2016","06","02","20:00","-1,3","","-6,2","","69","","","M","19","","","","99,87","","","","-7","","ND"
"2016-06-02 21:00","2016","06","02","21:00","-1,4","","-6,2","","69","","","M","12","","","","99,88","","","","-5","","ND"
