"Nom de la Station","SALLUIT"
"Province","QUÉBEC"
"Latitude","62,18"
"Longitude","-75,67"
"Altitude","228,00"
"ID climatologique","7117800"
"ID de l'OMM","71641"
"ID de TC","MFX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2015-01-03 14:00","2015","01","03","14:00","-26,4","","-29,1","","78","","21","","28","","","","98,41","","","","-41","","ND"
"2015-01-03 15:00","2015","01","03","15:00","-27,0","","-29,9","","77","","21","","30","","","","98,45","","","","-42","","ND"
"2015-01-03 16:00","2015","01","03","16:00","-25,6","","-28,2","","79","","22","","28","","","","98,52","","","","-39","","ND"
"2015-01-03 17:00","2015","01","03","17:00","-25,7","","-28,3","","79","","22","","38","","","","98,54","","","","-41","","ND"
"2015-01-03 18:00","2015","01","03","18:00","-26,6","","-29,3","","78","","21","","42","","","","98,59","","","","-43","","ND"
"2015-01-03 19:00","2015","01","03","19:00","-26,4","","-29,2","","77","","21","","34","","","","98,65","","","","-42","","ND"
"2015-01-03 20:00","2015","01","03","20:00","-25,8","","-28,4","","78","","23","","51","","","","98,62","","","","-43","","ND"
"2015-01-03 21:00","2015","01","03","21:00","-25,8","","-28,6","","78","","23","","46","","","","98,68","","","","-43","","ND"
"2015-01-03 22:00","2015","01","03","22:00","-25,3","","-28,0","","78","","22","","51","","","","98,68","","","","-43","","ND"
"2015-01-03 23:00","2015","01","03","23:00","-26,5","","-29,3","","77","","20","","35","","","","98,71","","","","-42","","ND"
"2015-01-04 00:00","2015","01","04","00:00","-27,5","","-30,5","","76","","20","","39","","","","98,74","","","","-44","","ND"
"2015-01-04 01:00","2015","01","04","01:00","-27,8","","-30,8","","76","","21","","33","","","","98,76","","","","-43","","ND"
"2015-01-04 02:00","2015","01","04","02:00","-28,3","","-31,3","","76","","19","","38","","","","98,80","","","","-45","","ND"
"2015-01-04 03:00","2015","01","04","03:00","-29,0","","-32,1","","75","","19","","37","","","","98,81","","","","-46","","ND"
"2015-01-04 04:00","2015","01","04","04:00","-28,8","","-31,8","","75","","20","","46","","","","98,78","","","","-47","","ND"
"2015-01-04 05:00","2015","01","04","05:00","-28,8","","-31,9","","74","","20","","46","","","","98,80","","","","-47","","ND"
"2015-01-04 06:00","2015","01","04","06:00","-28,5","","-31,5","","75","","20","","33","","","","98,79","","","","-44","","ND"
"2015-01-04 07:00","2015","01","04","07:00","-28,9","","-32,0","","75","","19","","39","","","","98,76","","","","-46","","ND"
"2015-01-04 08:00","2015","01","04","08:00","-29,2","","-32,3","","75","","20","","35","","","","98,79","","","","-46","","ND"
"2015-01-04 09:00","2015","01","04","09:00","-29,9","","-33,1","","74","","19","","32","","","","98,80","","","","-46","","ND"
"2015-01-04 10:00","2015","01","04","10:00","-29,9","","-33,1","","74","","19","","34","","","","98,77","","","","-46","","ND"
"2015-01-04 11:00","2015","01","04","11:00","-30,1","","-33,3","","73","","20","","34","","","","98,76","","","","-47","","ND"
"2015-01-04 12:00","2015","01","04","12:00","-30,4","","-33,7","","73","","19","","35","","","","98,70","","","","-47","","ND"
"2015-01-04 13:00","2015","01","04","13:00","-30,5","","-33,8","","73","","19","","31","","","","98,67","","","","-46","","ND"
"2015-01-04 14:00","2015","01","04","14:00","-31,1","","-34,5","","72","","19","","35","","","","98,66","","","","-48","","ND"
"2015-01-04 15:00","2015","01","04","15:00","-31,2","","-34,6","","72","","19","","34","","","","98,63","","","","-48","","ND"
"2015-01-04 16:00","2015","01","04","16:00","-31,0","","-34,4","","72","","19","","38","","","","98,60","","","","-48","","ND"
