dates,DB_R_uncorrected,DB_R_corrected,S_EC
2015-09-11 00:00:00+00:00,9.0,9.0,1.6583333333333332
2015-09-12 00:00:00+00:00,5.972222222222222,5.972222222222222,5.883333333333333
2015-09-13 00:00:00+00:00,8.25,8.25,6.483333333333333
2015-09-14 00:00:00+00:00,8.166666666666666,8.166666666666666,3.525
2015-09-15 00:00:00+00:00,7.277777777777778,7.277777777777778,3.25
2015-09-16 00:00:00+00:00,5.166666666666667,5.1665445465749285,1.5291666666666666
2015-09-17 00:00:00+00:00,2.0833333333333335,2.0831995789819326,-1.2041666666666666
2015-09-18 00:00:00+00:00,2.4166666666666665,2.4165202282583387,-0.8208333333333337
2015-09-20 00:00:00+00:00,3.0833333333333335,3.0831580147282556,0.3916666666666666
2015-09-21 00:00:00+00:00,3.5,3.499808285953812,0.8916666666666666
2015-09-22 00:00:00+00:00,7.166666666666667,7.166457107751233,3.6750000000000003
2015-09-23 00:00:00+00:00,2.0555555555555554,2.0553265823663294,0.4333333333333333
2015-09-24 00:00:00+00:00,0.6666666666666666,0.6664165806515674,-0.9833333333333333
2015-09-25 00:00:00+00:00,0.25,0.24972696365475636,-2.7458333333333336
2015-09-26 00:00:00+00:00,0.75,0.7497020263919227,-1.362500000000001
2015-09-27 00:00:00+00:00,2.25,2.249674941580305,1.1208333333333333
2015-09-28 00:00:00+00:00,4.277777777777778,4.277423314440713,1.8749999999999998
2015-09-29 00:00:00+00:00,3.8333333333333335,3.832946959678445,0.9416666666666668
2015-09-30 00:00:00+00:00,1.6666666666666667,1.6662456784185486,-0.2888888888888889
2015-10-01 00:00:00+00:00,2.5,2.499541479537886,0.4428571428571428
2015-10-02 00:00:00+00:00,5.416666666666667,5.416167467614133,3.6666666666666674
2015-10-03 00:00:00+00:00,10.75,10.749456730822965,7.295833333333333
2015-10-04 00:00:00+00:00,-0.1388888888888889,-0.13947988232981703,-0.9458333333333334
2015-10-05 00:00:00+00:00,-0.3055555555555556,-0.3061982085545068,-2.866666666666667
2015-10-06 00:00:00+00:00,-0.08333333333333333,-0.08403188204869244,-1.2374999999999998
2015-10-07 00:00:00+00:00,1.5,1.4992409976154546,-0.6291666666666668
2015-10-08 00:00:00+00:00,-1.9166666666666667,-1.9174910246810999,-4.687499999999999
2015-10-09 00:00:00+00:00,-2.388888888888889,-2.3897838720637714,-5.3166666666666655
2015-10-10 00:00:00+00:00,-1.75,-1.7509712704133664,-4.312500000000001
2015-10-11 00:00:00+00:00,0.6666666666666666,0.6656130279264995,-3.7083333333333326
2015-10-12 00:00:00+00:00,-1.0833333333333333,-1.084475868518666,-5.229166666666667
2015-10-13 00:00:00+00:00,-1.6666666666666667,-1.667905103096285,-5.566666666666666
2015-10-14 00:00:00+00:00,-3.8333333333333335,-3.8346751838449435,-6.7749999999999995
2015-10-15 00:00:00+00:00,-2.8333333333333335,-2.834786651946523,-6.0041666666666655
2015-10-16 00:00:00+00:00,-4.0,-4.001573416925452,-7.2875000000000005
2015-10-17 00:00:00+00:00,-4.444444444444445,-4.446147203041588,-8.095833333333333
2015-10-18 00:00:00+00:00,-3.25,-3.251841995767584,-6.695833333333334
2015-10-20 00:00:00+00:00,-2.0,-2.002152972919133,-3.670833333333332
2015-10-21 00:00:00+00:00,-2.8333333333333335,-2.8356595649819165,-5.250000000000001
2015-10-22 00:00:00+00:00,-3.8333333333333335,-3.8358457613932395,-6.666666666666667
2015-10-23 00:00:00+00:00,-2.5,-2.502712442824454,-5.158333333333333
2015-10-24 00:00:00+00:00,1.4166666666666667,1.4137394569911448,-1.8916666666666666
2015-10-25 00:00:00+00:00,-6.794871794871795,-6.7980295129516195,-10.558333333333334
2015-10-26 00:00:00+00:00,-8.846153846153847,-8.849558862159089,-12.120833333333335
2015-10-27 00:00:00+00:00,-7.0,-7.003670212785559,-9.454166666666667
2015-10-28 00:00:00+00:00,-5.6923076923076925,-5.6962621743903865,-8.391666666666666
2015-10-29 00:00:00+00:00,-5.6923076923076925,-5.696566757254364,-7.783333333333334
2015-10-30 00:00:00+00:00,-4.512820512820513,-4.517405785793833,-7.091666666666668
2015-10-31 00:00:00+00:00,-5.615384615384615,-5.620319106944022,-8.204166666666666
2015-11-01 00:00:00+00:00,-6.6923076923076925,-6.6976158755622945,-9.771428571428572
2015-11-02 00:00:00+00:00,-11.743589743589743,-11.749297634799081,-13.295833333333334
2015-11-03 00:00:00+00:00,-7.6923076923076925,-7.698442935024991,-9.220833333333333
2015-11-04 00:00:00+00:00,-5.0,-5.0065919528508545,-8.191666666666668
2015-11-05 00:00:00+00:00,-4.0,-4.007079828187451,-6.0375000000000005
2015-11-06 00:00:00+00:00,-4.384615384615385,-4.392216155239806,-6.375
2015-11-07 00:00:00+00:00,-5.153846153846154,-5.162002935125523,-7.675
2015-11-08 00:00:00+00:00,-6.6923076923076925,-6.701057656780424,-10.008333333333335
2015-11-09 00:00:00+00:00,-8.461538461538462,-8.470920993327129,-13.200000000000001
2015-11-10 00:00:00+00:00,-10.384615384615385,-10.394672190825295,-14.779166666666663
2015-11-11 00:00:00+00:00,-7.6923076923076925,-7.703082918629378,-11.487499999999999
2015-11-12 00:00:00+00:00,-10.538461538461538,-10.550001889040779,-12.937499999999998
2015-11-13 00:00:00+00:00,-10.23076923076923,-10.243124092402176,-13.416666666666666
2015-11-14 00:00:00+00:00,-11.128205128205128,-11.1414266989095,-9.937500000000002
2015-11-15 00:00:00+00:00,-2.3846153846153846,-2.398758806621415,-4.858333333333333
