;T_uncorrected;T_corrected
2017-01-01 00:00:00+00:00;-16.846153846153847;-17.070717351762248
2017-01-02 00:00:00+00:00;-19.307692307692307;-19.543247147088483
2017-01-03 00:00:00+00:00;-23.692307692307693;-23.939293522277136
2017-01-04 00:00:00+00:00;-21.153846153846153;-21.412714578389156
2017-01-05 00:00:00+00:00;-14.76923076923077;-15.040445364688049
2017-01-06 00:00:00+00:00;-11.923076923076923;-12.207113244648161
2017-01-07 00:00:00+00:00;-16.153846153846153;-16.451191722612908
2017-01-08 00:00:00+00:00;-21.384615384615383;-21.695769654184208
2017-01-09 00:00:00+00:00;-28.692307692307693;-29.0177819941964
2017-01-10 00:00:00+00:00;-27.923076923076923;-28.263394389977016
2017-01-11 00:00:00+00:00;-25.076923076923077;-25.432618542984493
2017-01-12 00:00:00+00:00;-17.307692307692307;-17.679312184992753
2017-01-13 00:00:00+00:00;-15.076923076923077;-15.465025207303752
2017-01-14 00:00:00+00:00;-22.0;-22.405153481472023
2017-01-15 00:00:00+00:00;-22.923076923076923;-23.34586191002898
2017-01-16 00:00:00+00:00;-23.153846153846153;-23.594853630313203
2017-01-17 00:00:00+00:00;-18.692307692307693;-19.152139217593547
2017-01-18 00:00:00+00:00;-8.538461538461538;-9.017728964444458
2017-01-20 00:00:00+00:00;-17.46153846153846;-17.98155282710196
2017-01-21 00:00:00+00:00;-25.384615384615383;-25.92595969731928
2017-01-22 00:00:00+00:00;-17.0;-17.563323867595653
2017-01-23 00:00:00+00:00;-12.307692307692308;-12.893653771796266
2017-01-24 00:00:00+00:00;-17.23076923076923;-17.84003430266585
2017-01-25 00:00:00+00:00;-7.615384615384615;-8.248626780133316
2017-01-26 00:00:00+00:00;-9.153846153846153;-9.81174584244106
2017-01-27 00:00:00+00:00;-8.23076923076923;-8.914013260166758
2017-01-28 00:00:00+00:00;-12.384615384615385;-13.093896365516445
2017-01-29 00:00:00+00:00;-13.307692307692308;-14.043708020039958
2017-01-30 00:00:00+00:00;-15.23076923076923;-15.99422196699981
2017-01-31 00:00:00+00:00;-22.384615384615383;-23.176211260781244
2017-02-01 00:00:00+00:00;-24.76923076923077;-25.589679004195457
2017-02-02 00:00:00+00:00;-24.46153846153846;-25.311550624530557
2017-02-03 00:00:00+00:00;-26.53846153846154;-27.418750765361033
2017-02-04 00:00:00+00:00;-29.76923076923077;-30.680510948051673
2017-02-05 00:00:00+00:00;-27.384615384615383;-28.32760031074009
2017-02-06 00:00:00+00:00;-22.46153846153846;-23.436940963352885
2017-02-07 00:00:00+00:00;-23.076923076923077;-24.085454112596494
2017-02-08 00:00:00+00:00;-23.923076923076923;-24.965444649326766
2017-02-09 00:00:00+00:00;-24.076923076923077;-25.15383189070193
2017-02-10 00:00:00+00:00;-27.692307692307693;-28.804457246447637
2017-02-11 00:00:00+00:00;-25.923076923076923;-27.07116111702444
2017-02-12 00:00:00+00:00;-26.46153846153846;-27.646244408411427
2017-02-13 00:00:00+00:00;-21.153846153846153;-22.375853125142257
2017-02-14 00:00:00+00:00;-19.46153846153846;-20.721516810921898
2017-02-15 00:00:00+00:00;-17.615384615384617;-18.91399468307423
2017-02-16 00:00:00+00:00;-18.384615384615383;-19.72250638399258
2017-02-17 00:00:00+00:00;-17.923076923076923;-19.30088581122534
2017-02-18 00:00:00+00:00;-16.53846153846154;-17.956811872441875
2017-02-20 00:00:00+00:00;-14.076923076923077;-15.578167582778372
2017-02-21 00:00:00+00:00;-18.76923076923077;-20.31279538108823
2017-02-22 00:00:00+00:00;-23.46153846153846;-25.047981481859598
2017-02-23 00:00:00+00:00;-22.153846153846153;-23.783706621678725
2017-02-24 00:00:00+00:00;-18.923076923076923;-20.596873427402347
2017-02-25 00:00:00+00:00;-15.846153846153847;-17.564383339916724
2017-02-26 00:00:00+00:00;-14.0;-15.763136617241614
2017-02-27 00:00:00+00:00;-11.538461538461538;-13.346955417036854
2017-02-28 00:00:00+00:00;-22.153846153846153;-24.008122266256095
2017-03-01 00:00:00+00:00;-23.692307692307693;-25.59276468722493
2017-03-02 00:00:00+00:00;-26.923076923076923;-28.87008598018362
2017-03-03 00:00:00+00:00;-22.923076923076923;-24.916980623866962
2017-03-04 00:00:00+00:00;-24.615384615384617;-26.656495832609924
2017-03-05 00:00:00+00:00;-18.153846153846153;-20.24244696230721
2017-03-06 00:00:00+00:00;-14.615384615384615;-16.75172522677837
2017-03-07 00:00:00+00:00;-15.538461538461538;-17.722759263005777
2017-03-08 00:00:00+00:00;-5.538461538461538;-7.7708997760130325
2017-03-09 00:00:00+00:00;-3.6923076923076925;-5.9730349556819755
2017-03-10 00:00:00+00:00;-15.692307692307692;-18.021436665490963
2017-03-11 00:00:00+00:00;-20.846153846153847;-23.22376048007215
2017-03-12 00:00:00+00:00;-19.384615384615383;-21.81073803309281
2017-03-13 00:00:00+00:00;-15.153846153846153;-17.628484752342157
2017-03-14 00:00:00+00:00;-11.0;-13.523115289666185
2017-03-15 00:00:00+00:00;-13.23076923076923;-15.8022820303079
2017-03-16 00:00:00+00:00;-13.846153846153847;-16.4659443738945
2017-03-17 00:00:00+00:00;-14.23076923076923;-16.89867647930477
